Size,Inner Dimension,Outer Dimension,Width,Dynamic(Cr),Static(Cor),Weight(lb)
16001,12,28,7,1142,535,0.0418
16002,15,32,8,1259,573,0.055
16003,17,35,8,1533,760,0.0594
16004,20,42,8,1776,1000,0.11
16005,25,47,8,1776,1000,0.132
16006,30,55,9,2518,1405,0.187
16007,35,62,9,2585,1978,0.22
16008,40,68,9,2810,2293,0.286
16009,45,75,10,2878,2293,0.374
16010,50,80,10,3642,2967,0.396
16011,55,90,11,3642,3867,0.572
16012,60,95,11,3709,3372,0.616
16013,65,100,11,3934,3597,0.66
16014,70,110,13,6025,5305,0.9702
16015,75,115,13,6205,5688,1.0186
16016,80,125,14,7194,6654,1.3662
16017,85,130,14,7419,7081,1.4344
16018,90,140,16,9330,8880,1.9206
16019,95,145,16,9667,9442,1.9888
16020,100,150,16,9554,9442,2.079
16021,105,160,18,11690,11353,2.728
16022,110,170,19,12926,12702,3.322